replicate,scientist_work,n,p_hat
10868,Doesn't benefit,7,0.14
10869,Doesn't benefit,10,0.2
10870,Doesn't benefit,12,0.24
10871,Doesn't benefit,11,0.22
10872,Doesn't benefit,12,0.24
10873,Doesn't benefit,10,0.2
10874,Doesn't benefit,9,0.18
10875,Doesn't benefit,13,0.26
10876,Doesn't benefit,12,0.24
10877,Doesn't benefit,10,0.2
10878,Doesn't benefit,7,0.14
10879,Doesn't benefit,6,0.12
10880,Doesn't benefit,9,0.18
10881,Doesn't benefit,8,0.16
10882,Doesn't benefit,9,0.18
10883,Doesn't benefit,8,0.16
10884,Doesn't benefit,7,0.14
10885,Doesn't benefit,14,0.28
10886,Doesn't benefit,8,0.16
10887,Doesn't benefit,5,0.1
10888,Doesn't benefit,16,0.32
10889,Doesn't benefit,15,0.3
10890,Doesn't benefit,6,0.12
10891,Doesn't benefit,12,0.24
10892,Doesn't benefit,9,0.18
10893,Doesn't benefit,15,0.3
10894,Doesn't benefit,14,0.28
10895,Doesn't benefit,11,0.22
10896,Doesn't benefit,11,0.22
10897,Doesn't benefit,12,0.24
10898,Doesn't benefit,9,0.18
10899,Doesn't benefit,9,0.18
10900,Doesn't benefit,7,0.14
10901,Doesn't benefit,12,0.24
10902,Doesn't benefit,15,0.3
10903,Doesn't benefit,8,0.16
10904,Doesn't benefit,10,0.2
10905,Doesn't benefit,11,0.22
10906,Doesn't benefit,9,0.18
10907,Doesn't benefit,6,0.12
10908,Doesn't benefit,10,0.2
10909,Doesn't benefit,12,0.24
10910,Doesn't benefit,12,0.24
10911,Doesn't benefit,7,0.14
10912,Doesn't benefit,11,0.22
10913,Doesn't benefit,13,0.26
10914,Doesn't benefit,11,0.22
10915,Doesn't benefit,9,0.18
10916,Doesn't benefit,12,0.24
10917,Doesn't benefit,9,0.18
10918,Doesn't benefit,9,0.18
10919,Doesn't benefit,8,0.16
10920,Doesn't benefit,9,0.18
10921,Doesn't benefit,10,0.2
10922,Doesn't benefit,10,0.2
10923,Doesn't benefit,10,0.2
10924,Doesn't benefit,8,0.16
10925,Doesn't benefit,8,0.16
10926,Doesn't benefit,13,0.26
10927,Doesn't benefit,10,0.2
10928,Doesn't benefit,10,0.2
10929,Doesn't benefit,11,0.22
10930,Doesn't benefit,9,0.18
10931,Doesn't benefit,14,0.28
10932,Doesn't benefit,11,0.22
10933,Doesn't benefit,12,0.24
10934,Doesn't benefit,7,0.14
10935,Doesn't benefit,6,0.12
10936,Doesn't benefit,13,0.26
10937,Doesn't benefit,12,0.24
10938,Doesn't benefit,8,0.16
10939,Doesn't benefit,8,0.16
10940,Doesn't benefit,2,0.04
10941,Doesn't benefit,14,0.28
10942,Doesn't benefit,12,0.24
10943,Doesn't benefit,12,0.24
10944,Doesn't benefit,9,0.18
10945,Doesn't benefit,11,0.22
10946,Doesn't benefit,10,0.2
10947,Doesn't benefit,8,0.16
10948,Doesn't benefit,7,0.14
10949,Doesn't benefit,10,0.2
10950,Doesn't benefit,10,0.2
10951,Doesn't benefit,9,0.18
10952,Doesn't benefit,10,0.2
10953,Doesn't benefit,17,0.34
10954,Doesn't benefit,9,0.18
10955,Doesn't benefit,11,0.22
10956,Doesn't benefit,11,0.22
10957,Doesn't benefit,10,0.2
10958,Doesn't benefit,8,0.16
10959,Doesn't benefit,12,0.24
10960,Doesn't benefit,11,0.22
10961,Doesn't benefit,10,0.2
10962,Doesn't benefit,14,0.28
10963,Doesn't benefit,8,0.16
10964,Doesn't benefit,4,0.08
10965,Doesn't benefit,14,0.28
10966,Doesn't benefit,9,0.18
10967,Doesn't benefit,9,0.18
10968,Doesn't benefit,13,0.26
10969,Doesn't benefit,8,0.16
10970,Doesn't benefit,9,0.18
10971,Doesn't benefit,9,0.18
10972,Doesn't benefit,10,0.2
10973,Doesn't benefit,10,0.2
10974,Doesn't benefit,9,0.18
10975,Doesn't benefit,8,0.16
10976,Doesn't benefit,2,0.04
10977,Doesn't benefit,10,0.2
10978,Doesn't benefit,6,0.12
10979,Doesn't benefit,11,0.22
10980,Doesn't benefit,11,0.22
10981,Doesn't benefit,10,0.2
10982,Doesn't benefit,14,0.28
10983,Doesn't benefit,10,0.2
10984,Doesn't benefit,7,0.14
10985,Doesn't benefit,14,0.28
10986,Doesn't benefit,11,0.22
10987,Doesn't benefit,9,0.18
10988,Doesn't benefit,8,0.16
10989,Doesn't benefit,9,0.18
10990,Doesn't benefit,13,0.26
10991,Doesn't benefit,5,0.1
10992,Doesn't benefit,12,0.24
10993,Doesn't benefit,9,0.18
10994,Doesn't benefit,8,0.16
10995,Doesn't benefit,13,0.26
10996,Doesn't benefit,11,0.22
10997,Doesn't benefit,4,0.08
10998,Doesn't benefit,15,0.3
10999,Doesn't benefit,12,0.24
11000,Doesn't benefit,12,0.24
11001,Doesn't benefit,9,0.18
11002,Doesn't benefit,13,0.26
11003,Doesn't benefit,7,0.14
11004,Doesn't benefit,9,0.18
11005,Doesn't benefit,8,0.16
11006,Doesn't benefit,16,0.32
11007,Doesn't benefit,15,0.3
11008,Doesn't benefit,6,0.12
11009,Doesn't benefit,14,0.28
11010,Doesn't benefit,12,0.24
11011,Doesn't benefit,14,0.28
11012,Doesn't benefit,11,0.22
11013,Doesn't benefit,8,0.16
11014,Doesn't benefit,8,0.16
11015,Doesn't benefit,9,0.18
11016,Doesn't benefit,8,0.16
11017,Doesn't benefit,7,0.14
11018,Doesn't benefit,10,0.2
11019,Doesn't benefit,9,0.18
11020,Doesn't benefit,10,0.2
11021,Doesn't benefit,8,0.16
11022,Doesn't benefit,13,0.26
11023,Doesn't benefit,16,0.32
11024,Doesn't benefit,9,0.18
11025,Doesn't benefit,12,0.24
11026,Doesn't benefit,12,0.24
11027,Doesn't benefit,16,0.32
11028,Doesn't benefit,11,0.22
11029,Doesn't benefit,10,0.2
11030,Doesn't benefit,12,0.24
11031,Doesn't benefit,6,0.12
11032,Doesn't benefit,12,0.24
11033,Doesn't benefit,8,0.16
11034,Doesn't benefit,11,0.22
11035,Doesn't benefit,9,0.18
11036,Doesn't benefit,11,0.22
11037,Doesn't benefit,17,0.34
11038,Doesn't benefit,7,0.14
11039,Doesn't benefit,12,0.24
11040,Doesn't benefit,17,0.34
11041,Doesn't benefit,10,0.2
11042,Doesn't benefit,8,0.16
11043,Doesn't benefit,8,0.16
11044,Doesn't benefit,11,0.22
11045,Doesn't benefit,7,0.14
11046,Doesn't benefit,9,0.18
11047,Doesn't benefit,13,0.26
11048,Doesn't benefit,6,0.12
11049,Doesn't benefit,10,0.2
11050,Doesn't benefit,10,0.2
11051,Doesn't benefit,12,0.24
11052,Doesn't benefit,7,0.14
11053,Doesn't benefit,10,0.2
11054,Doesn't benefit,12,0.24
11055,Doesn't benefit,6,0.12
11056,Doesn't benefit,4,0.08
11057,Doesn't benefit,8,0.16
11058,Doesn't benefit,9,0.18
11059,Doesn't benefit,14,0.28
11060,Doesn't benefit,14,0.28
11061,Doesn't benefit,9,0.18
11062,Doesn't benefit,13,0.26
11063,Doesn't benefit,12,0.24
11064,Doesn't benefit,7,0.14
11065,Doesn't benefit,14,0.28
11066,Doesn't benefit,8,0.16
11067,Doesn't benefit,13,0.26
11068,Doesn't benefit,8,0.16
11069,Doesn't benefit,9,0.18
11070,Doesn't benefit,11,0.22
11071,Doesn't benefit,11,0.22
11072,Doesn't benefit,12,0.24
11073,Doesn't benefit,7,0.14
11074,Doesn't benefit,7,0.14
11075,Doesn't benefit,11,0.22
11076,Doesn't benefit,12,0.24
11077,Doesn't benefit,10,0.2
11078,Doesn't benefit,5,0.1
11079,Doesn't benefit,6,0.12
11080,Doesn't benefit,6,0.12
11081,Doesn't benefit,5,0.1
11082,Doesn't benefit,19,0.38
11083,Doesn't benefit,16,0.32
11084,Doesn't benefit,7,0.14
11085,Doesn't benefit,10,0.2
11086,Doesn't benefit,9,0.18
11087,Doesn't benefit,13,0.26
11088,Doesn't benefit,13,0.26
11089,Doesn't benefit,9,0.18
11090,Doesn't benefit,10,0.2
11091,Doesn't benefit,7,0.14
11092,Doesn't benefit,6,0.12
11093,Doesn't benefit,6,0.12
11094,Doesn't benefit,12,0.24
11095,Doesn't benefit,7,0.14
11096,Doesn't benefit,13,0.26
11097,Doesn't benefit,6,0.12
11098,Doesn't benefit,7,0.14
11099,Doesn't benefit,7,0.14
11100,Doesn't benefit,5,0.1
11101,Doesn't benefit,9,0.18
11102,Doesn't benefit,7,0.14
11103,Doesn't benefit,11,0.22
11104,Doesn't benefit,9,0.18
11105,Doesn't benefit,13,0.26
11106,Doesn't benefit,10,0.2
11107,Doesn't benefit,12,0.24
11108,Doesn't benefit,12,0.24
11109,Doesn't benefit,8,0.16
11110,Doesn't benefit,9,0.18
11111,Doesn't benefit,14,0.28
11112,Doesn't benefit,13,0.26
11113,Doesn't benefit,10,0.2
11114,Doesn't benefit,11,0.22
11115,Doesn't benefit,6,0.12
11116,Doesn't benefit,12,0.24
11117,Doesn't benefit,10,0.2
11118,Doesn't benefit,7,0.14
11119,Doesn't benefit,15,0.3
11120,Doesn't benefit,11,0.22
11121,Doesn't benefit,10,0.2
11122,Doesn't benefit,10,0.2
11123,Doesn't benefit,13,0.26
11124,Doesn't benefit,9,0.18
11125,Doesn't benefit,8,0.16
11126,Doesn't benefit,8,0.16
11127,Doesn't benefit,3,0.06
11128,Doesn't benefit,6,0.12
11129,Doesn't benefit,11,0.22
11130,Doesn't benefit,14,0.28
11131,Doesn't benefit,16,0.32
11132,Doesn't benefit,15,0.3
11133,Doesn't benefit,10,0.2
11134,Doesn't benefit,11,0.22
11135,Doesn't benefit,8,0.16
11136,Doesn't benefit,12,0.24
11137,Doesn't benefit,13,0.26
11138,Doesn't benefit,11,0.22
11139,Doesn't benefit,9,0.18
11140,Doesn't benefit,6,0.12
11141,Doesn't benefit,11,0.22
11142,Doesn't benefit,12,0.24
11143,Doesn't benefit,7,0.14
11144,Doesn't benefit,10,0.2
11145,Doesn't benefit,12,0.24
11146,Doesn't benefit,5,0.1
11147,Doesn't benefit,6,0.12
11148,Doesn't benefit,10,0.2
11149,Doesn't benefit,17,0.34
11150,Doesn't benefit,7,0.14
11151,Doesn't benefit,14,0.28
11152,Doesn't benefit,5,0.1
11153,Doesn't benefit,11,0.22
11154,Doesn't benefit,11,0.22
11155,Doesn't benefit,12,0.24
11156,Doesn't benefit,3,0.06
11157,Doesn't benefit,10,0.2
11158,Doesn't benefit,12,0.24
11159,Doesn't benefit,10,0.2
11160,Doesn't benefit,14,0.28
11161,Doesn't benefit,14,0.28
11162,Doesn't benefit,11,0.22
11163,Doesn't benefit,11,0.22
11164,Doesn't benefit,15,0.3
11165,Doesn't benefit,7,0.14
11166,Doesn't benefit,8,0.16
11167,Doesn't benefit,11,0.22
11168,Doesn't benefit,15,0.3
11169,Doesn't benefit,7,0.14
11170,Doesn't benefit,8,0.16
11171,Doesn't benefit,8,0.16
11172,Doesn't benefit,14,0.28
11173,Doesn't benefit,13,0.26
11174,Doesn't benefit,7,0.14
11175,Doesn't benefit,11,0.22
11176,Doesn't benefit,11,0.22
11177,Doesn't benefit,10,0.2
11178,Doesn't benefit,13,0.26
11179,Doesn't benefit,12,0.24
11180,Doesn't benefit,8,0.16
11181,Doesn't benefit,10,0.2
11182,Doesn't benefit,7,0.14
11183,Doesn't benefit,10,0.2
11184,Doesn't benefit,13,0.26
11185,Doesn't benefit,10,0.2
11186,Doesn't benefit,12,0.24
11187,Doesn't benefit,6,0.12
11188,Doesn't benefit,13,0.26
11189,Doesn't benefit,4,0.08
11190,Doesn't benefit,6,0.12
11191,Doesn't benefit,8,0.16
11192,Doesn't benefit,7,0.14
11193,Doesn't benefit,17,0.34
11194,Doesn't benefit,12,0.24
11195,Doesn't benefit,9,0.18
11196,Doesn't benefit,9,0.18
11197,Doesn't benefit,9,0.18
11198,Doesn't benefit,7,0.14
11199,Doesn't benefit,12,0.24
11200,Doesn't benefit,9,0.18
11201,Doesn't benefit,13,0.26
11202,Doesn't benefit,10,0.2
11203,Doesn't benefit,13,0.26
11204,Doesn't benefit,11,0.22
11205,Doesn't benefit,10,0.2
11206,Doesn't benefit,12,0.24
11207,Doesn't benefit,8,0.16
11208,Doesn't benefit,11,0.22
11209,Doesn't benefit,6,0.12
11210,Doesn't benefit,10,0.2
11211,Doesn't benefit,12,0.24
11212,Doesn't benefit,9,0.18
11213,Doesn't benefit,10,0.2
11214,Doesn't benefit,15,0.3
11215,Doesn't benefit,7,0.14
11216,Doesn't benefit,11,0.22
11217,Doesn't benefit,10,0.2
11218,Doesn't benefit,8,0.16
11219,Doesn't benefit,6,0.12
11220,Doesn't benefit,7,0.14
11221,Doesn't benefit,7,0.14
11222,Doesn't benefit,15,0.3
11223,Doesn't benefit,7,0.14
11224,Doesn't benefit,11,0.22
11225,Doesn't benefit,12,0.24
11226,Doesn't benefit,8,0.16
11227,Doesn't benefit,7,0.14
11228,Doesn't benefit,10,0.2
11229,Doesn't benefit,3,0.06
11230,Doesn't benefit,5,0.1
11231,Doesn't benefit,14,0.28
11232,Doesn't benefit,10,0.2
11233,Doesn't benefit,15,0.3
11234,Doesn't benefit,11,0.22
11235,Doesn't benefit,11,0.22
11236,Doesn't benefit,11,0.22
11237,Doesn't benefit,10,0.2
11238,Doesn't benefit,13,0.26
11239,Doesn't benefit,13,0.26
11240,Doesn't benefit,9,0.18
11241,Doesn't benefit,9,0.18
11242,Doesn't benefit,11,0.22
11243,Doesn't benefit,8,0.16
11244,Doesn't benefit,8,0.16
11245,Doesn't benefit,9,0.18
11246,Doesn't benefit,11,0.22
11247,Doesn't benefit,8,0.16
11248,Doesn't benefit,10,0.2
11249,Doesn't benefit,11,0.22
11250,Doesn't benefit,8,0.16
11251,Doesn't benefit,7,0.14
11252,Doesn't benefit,10,0.2
11253,Doesn't benefit,14,0.28
11254,Doesn't benefit,10,0.2
11255,Doesn't benefit,13,0.26
11256,Doesn't benefit,8,0.16
11257,Doesn't benefit,8,0.16
11258,Doesn't benefit,11,0.22
11259,Doesn't benefit,8,0.16
11260,Doesn't benefit,9,0.18
11261,Doesn't benefit,11,0.22
11262,Doesn't benefit,11,0.22
11263,Doesn't benefit,9,0.18
11264,Doesn't benefit,6,0.12
11265,Doesn't benefit,9,0.18
11266,Doesn't benefit,7,0.14
11267,Doesn't benefit,9,0.18
11268,Doesn't benefit,16,0.32
11269,Doesn't benefit,11,0.22
11270,Doesn't benefit,15,0.3
11271,Doesn't benefit,8,0.16
11272,Doesn't benefit,8,0.16
11273,Doesn't benefit,10,0.2
11274,Doesn't benefit,11,0.22
11275,Doesn't benefit,5,0.1
11276,Doesn't benefit,13,0.26
11277,Doesn't benefit,9,0.18
11278,Doesn't benefit,11,0.22
11279,Doesn't benefit,8,0.16
11280,Doesn't benefit,15,0.3
11281,Doesn't benefit,4,0.08
11282,Doesn't benefit,12,0.24
11283,Doesn't benefit,10,0.2
11284,Doesn't benefit,11,0.22
11285,Doesn't benefit,7,0.14
11286,Doesn't benefit,7,0.14
11287,Doesn't benefit,11,0.22
11288,Doesn't benefit,10,0.2
11289,Doesn't benefit,12,0.24
11290,Doesn't benefit,8,0.16
11291,Doesn't benefit,9,0.18
11292,Doesn't benefit,14,0.28
11293,Doesn't benefit,15,0.3
11294,Doesn't benefit,7,0.14
11295,Doesn't benefit,15,0.3
11296,Doesn't benefit,11,0.22
11297,Doesn't benefit,10,0.2
11298,Doesn't benefit,10,0.2
11299,Doesn't benefit,7,0.14
11300,Doesn't benefit,7,0.14
11301,Doesn't benefit,6,0.12
11302,Doesn't benefit,10,0.2
11303,Doesn't benefit,12,0.24
11304,Doesn't benefit,11,0.22
11305,Doesn't benefit,9,0.18
11306,Doesn't benefit,11,0.22
11307,Doesn't benefit,16,0.32
11308,Doesn't benefit,4,0.08
11309,Doesn't benefit,13,0.26
11310,Doesn't benefit,6,0.12
11311,Doesn't benefit,6,0.12
11312,Doesn't benefit,7,0.14
11313,Doesn't benefit,8,0.16
11314,Doesn't benefit,12,0.24
11315,Doesn't benefit,9,0.18
11316,Doesn't benefit,14,0.28
11317,Doesn't benefit,8,0.16
11318,Doesn't benefit,8,0.16
11319,Doesn't benefit,7,0.14
11320,Doesn't benefit,10,0.2
11321,Doesn't benefit,12,0.24
11322,Doesn't benefit,11,0.22
11323,Doesn't benefit,7,0.14
11324,Doesn't benefit,8,0.16
11325,Doesn't benefit,6,0.12
11326,Doesn't benefit,19,0.38
11327,Doesn't benefit,17,0.34
11328,Doesn't benefit,11,0.22
11329,Doesn't benefit,10,0.2
11330,Doesn't benefit,6,0.12
11331,Doesn't benefit,9,0.18
11332,Doesn't benefit,11,0.22
11333,Doesn't benefit,10,0.2
11334,Doesn't benefit,8,0.16
11335,Doesn't benefit,9,0.18
11336,Doesn't benefit,9,0.18
11337,Doesn't benefit,14,0.28
11338,Doesn't benefit,11,0.22
11339,Doesn't benefit,9,0.18
11340,Doesn't benefit,11,0.22
11341,Doesn't benefit,7,0.14
11342,Doesn't benefit,10,0.2
11343,Doesn't benefit,5,0.1
11344,Doesn't benefit,10,0.2
11345,Doesn't benefit,8,0.16
11346,Doesn't benefit,19,0.38
11347,Doesn't benefit,11,0.22
11348,Doesn't benefit,8,0.16
11349,Doesn't benefit,10,0.2
11350,Doesn't benefit,5,0.1
11351,Doesn't benefit,9,0.18
11352,Doesn't benefit,7,0.14
11353,Doesn't benefit,8,0.16
11354,Doesn't benefit,9,0.18
11355,Doesn't benefit,9,0.18
11356,Doesn't benefit,8,0.16
11357,Doesn't benefit,14,0.28
11358,Doesn't benefit,11,0.22
11359,Doesn't benefit,7,0.14
11360,Doesn't benefit,4,0.08
11361,Doesn't benefit,8,0.16
11362,Doesn't benefit,8,0.16
11363,Doesn't benefit,9,0.18
11364,Doesn't benefit,11,0.22
11365,Doesn't benefit,10,0.2
11366,Doesn't benefit,10,0.2
11367,Doesn't benefit,9,0.18
11368,Doesn't benefit,10,0.2
11369,Doesn't benefit,9,0.18
11370,Doesn't benefit,8,0.16
11371,Doesn't benefit,11,0.22
11372,Doesn't benefit,9,0.18
11373,Doesn't benefit,15,0.3
11374,Doesn't benefit,14,0.28
11375,Doesn't benefit,5,0.1
11376,Doesn't benefit,11,0.22
11377,Doesn't benefit,20,0.4
11378,Doesn't benefit,13,0.26
11379,Doesn't benefit,12,0.24
11380,Doesn't benefit,4,0.08
11381,Doesn't benefit,9,0.18
11382,Doesn't benefit,7,0.14
11383,Doesn't benefit,11,0.22
11384,Doesn't benefit,9,0.18
11385,Doesn't benefit,7,0.14
11386,Doesn't benefit,10,0.2
11387,Doesn't benefit,7,0.14
11388,Doesn't benefit,5,0.1
11389,Doesn't benefit,9,0.18
11390,Doesn't benefit,8,0.16
11391,Doesn't benefit,6,0.12
11392,Doesn't benefit,9,0.18
11393,Doesn't benefit,10,0.2
11394,Doesn't benefit,10,0.2
11395,Doesn't benefit,9,0.18
11396,Doesn't benefit,11,0.22
11397,Doesn't benefit,12,0.24
11398,Doesn't benefit,9,0.18
11399,Doesn't benefit,8,0.16
11400,Doesn't benefit,14,0.28
11401,Doesn't benefit,8,0.16
11402,Doesn't benefit,12,0.24
11403,Doesn't benefit,9,0.18
11404,Doesn't benefit,12,0.24
11405,Doesn't benefit,9,0.18
11406,Doesn't benefit,11,0.22
11407,Doesn't benefit,13,0.26
11408,Doesn't benefit,12,0.24
11409,Doesn't benefit,10,0.2
11410,Doesn't benefit,15,0.3
11411,Doesn't benefit,8,0.16
11412,Doesn't benefit,11,0.22
11413,Doesn't benefit,12,0.24
11414,Doesn't benefit,9,0.18
11415,Doesn't benefit,10,0.2
11416,Doesn't benefit,12,0.24
11417,Doesn't benefit,7,0.14
11418,Doesn't benefit,12,0.24
11419,Doesn't benefit,7,0.14
11420,Doesn't benefit,13,0.26
11421,Doesn't benefit,15,0.3
11422,Doesn't benefit,12,0.24
11423,Doesn't benefit,11,0.22
11424,Doesn't benefit,9,0.18
11425,Doesn't benefit,10,0.2
11426,Doesn't benefit,11,0.22
11427,Doesn't benefit,6,0.12
11428,Doesn't benefit,5,0.1
11429,Doesn't benefit,5,0.1
11430,Doesn't benefit,10,0.2
11431,Doesn't benefit,10,0.2
11432,Doesn't benefit,9,0.18
11433,Doesn't benefit,11,0.22
11434,Doesn't benefit,4,0.08
11435,Doesn't benefit,9,0.18
11436,Doesn't benefit,10,0.2
11437,Doesn't benefit,8,0.16
11438,Doesn't benefit,11,0.22
11439,Doesn't benefit,12,0.24
11440,Doesn't benefit,19,0.38
11441,Doesn't benefit,6,0.12
11442,Doesn't benefit,8,0.16
11443,Doesn't benefit,10,0.2
11444,Doesn't benefit,11,0.22
11445,Doesn't benefit,10,0.2
11446,Doesn't benefit,13,0.26
11447,Doesn't benefit,6,0.12
11448,Doesn't benefit,5,0.1
11449,Doesn't benefit,9,0.18
11450,Doesn't benefit,9,0.18
11451,Doesn't benefit,7,0.14
11452,Doesn't benefit,12,0.24
11453,Doesn't benefit,8,0.16
11454,Doesn't benefit,10,0.2
11455,Doesn't benefit,6,0.12
11456,Doesn't benefit,13,0.26
11457,Doesn't benefit,8,0.16
11458,Doesn't benefit,12,0.24
11459,Doesn't benefit,11,0.22
11460,Doesn't benefit,7,0.14
11461,Doesn't benefit,15,0.3
11462,Doesn't benefit,9,0.18
11463,Doesn't benefit,8,0.16
11464,Doesn't benefit,4,0.08
11465,Doesn't benefit,9,0.18
11466,Doesn't benefit,10,0.2
11467,Doesn't benefit,4,0.08
11468,Doesn't benefit,7,0.14
11469,Doesn't benefit,12,0.24
11470,Doesn't benefit,9,0.18
11471,Doesn't benefit,13,0.26
11472,Doesn't benefit,11,0.22
11473,Doesn't benefit,8,0.16
11474,Doesn't benefit,8,0.16
11475,Doesn't benefit,9,0.18
11476,Doesn't benefit,8,0.16
11477,Doesn't benefit,12,0.24
11478,Doesn't benefit,10,0.2
11479,Doesn't benefit,9,0.18
11480,Doesn't benefit,11,0.22
11481,Doesn't benefit,4,0.08
11482,Doesn't benefit,11,0.22
11483,Doesn't benefit,9,0.18
11484,Doesn't benefit,11,0.22
11485,Doesn't benefit,6,0.12
11486,Doesn't benefit,14,0.28
11487,Doesn't benefit,13,0.26
11488,Doesn't benefit,11,0.22
11489,Doesn't benefit,14,0.28
11490,Doesn't benefit,2,0.04
11491,Doesn't benefit,6,0.12
11492,Doesn't benefit,10,0.2
11493,Doesn't benefit,12,0.24
11494,Doesn't benefit,9,0.18
11495,Doesn't benefit,14,0.28
11496,Doesn't benefit,14,0.28
11497,Doesn't benefit,11,0.22
11498,Doesn't benefit,6,0.12
11499,Doesn't benefit,4,0.08
11500,Doesn't benefit,6,0.12
11501,Doesn't benefit,12,0.24
11502,Doesn't benefit,7,0.14
11503,Doesn't benefit,14,0.28
11504,Doesn't benefit,13,0.26
11505,Doesn't benefit,10,0.2
11506,Doesn't benefit,15,0.3
11507,Doesn't benefit,8,0.16
11508,Doesn't benefit,12,0.24
11509,Doesn't benefit,11,0.22
11510,Doesn't benefit,6,0.12
11511,Doesn't benefit,14,0.28
11512,Doesn't benefit,12,0.24
11513,Doesn't benefit,6,0.12
11514,Doesn't benefit,9,0.18
11515,Doesn't benefit,12,0.24
11516,Doesn't benefit,9,0.18
11517,Doesn't benefit,9,0.18
11518,Doesn't benefit,9,0.18
11519,Doesn't benefit,16,0.32
11520,Doesn't benefit,10,0.2
11521,Doesn't benefit,9,0.18
11522,Doesn't benefit,9,0.18
11523,Doesn't benefit,9,0.18
11524,Doesn't benefit,14,0.28
11525,Doesn't benefit,11,0.22
11526,Doesn't benefit,11,0.22
11527,Doesn't benefit,11,0.22
11528,Doesn't benefit,12,0.24
11529,Doesn't benefit,6,0.12
11530,Doesn't benefit,16,0.32
11531,Doesn't benefit,11,0.22
11532,Doesn't benefit,5,0.1
11533,Doesn't benefit,18,0.36
11534,Doesn't benefit,5,0.1
11535,Doesn't benefit,12,0.24
11536,Doesn't benefit,10,0.2
11537,Doesn't benefit,7,0.14
11538,Doesn't benefit,14,0.28
11539,Doesn't benefit,11,0.22
11540,Doesn't benefit,11,0.22
11541,Doesn't benefit,12,0.24
11542,Doesn't benefit,10,0.2
11543,Doesn't benefit,11,0.22
11544,Doesn't benefit,11,0.22
11545,Doesn't benefit,16,0.32
11546,Doesn't benefit,11,0.22
11547,Doesn't benefit,13,0.26
11548,Doesn't benefit,10,0.2
11549,Doesn't benefit,10,0.2
11550,Doesn't benefit,8,0.16
11551,Doesn't benefit,11,0.22
11552,Doesn't benefit,7,0.14
11553,Doesn't benefit,8,0.16
11554,Doesn't benefit,12,0.24
11555,Doesn't benefit,7,0.14
11556,Doesn't benefit,13,0.26
11557,Doesn't benefit,7,0.14
11558,Doesn't benefit,10,0.2
11559,Doesn't benefit,8,0.16
11560,Doesn't benefit,8,0.16
11561,Doesn't benefit,6,0.12
11562,Doesn't benefit,10,0.2
11563,Doesn't benefit,8,0.16
11564,Doesn't benefit,10,0.2
11565,Doesn't benefit,9,0.18
11566,Doesn't benefit,12,0.24
11567,Doesn't benefit,6,0.12
11568,Doesn't benefit,10,0.2
11569,Doesn't benefit,8,0.16
11570,Doesn't benefit,19,0.38
11571,Doesn't benefit,13,0.26
11572,Doesn't benefit,8,0.16
11573,Doesn't benefit,8,0.16
11574,Doesn't benefit,6,0.12
11575,Doesn't benefit,10,0.2
11576,Doesn't benefit,9,0.18
11577,Doesn't benefit,14,0.28
11578,Doesn't benefit,4,0.08
11579,Doesn't benefit,10,0.2
11580,Doesn't benefit,7,0.14
11581,Doesn't benefit,12,0.24
11582,Doesn't benefit,9,0.18
11583,Doesn't benefit,9,0.18
11584,Doesn't benefit,9,0.18
11585,Doesn't benefit,8,0.16
11586,Doesn't benefit,7,0.14
11587,Doesn't benefit,11,0.22
11588,Doesn't benefit,13,0.26
11589,Doesn't benefit,12,0.24
11590,Doesn't benefit,9,0.18
11591,Doesn't benefit,11,0.22
11592,Doesn't benefit,13,0.26
11593,Doesn't benefit,16,0.32
11594,Doesn't benefit,17,0.34
11595,Doesn't benefit,9,0.18
11596,Doesn't benefit,8,0.16
11597,Doesn't benefit,8,0.16
11598,Doesn't benefit,10,0.2
11599,Doesn't benefit,12,0.24
11600,Doesn't benefit,7,0.14
11601,Doesn't benefit,12,0.24
11602,Doesn't benefit,9,0.18
11603,Doesn't benefit,11,0.22
11604,Doesn't benefit,11,0.22
11605,Doesn't benefit,11,0.22
11606,Doesn't benefit,8,0.16
11607,Doesn't benefit,14,0.28
11608,Doesn't benefit,16,0.32
11609,Doesn't benefit,9,0.18
11610,Doesn't benefit,6,0.12
11611,Doesn't benefit,14,0.28
11612,Doesn't benefit,9,0.18
11613,Doesn't benefit,7,0.14
11614,Doesn't benefit,7,0.14
11615,Doesn't benefit,8,0.16
11616,Doesn't benefit,12,0.24
11617,Doesn't benefit,9,0.18
11618,Doesn't benefit,10,0.2
11619,Doesn't benefit,11,0.22
11620,Doesn't benefit,13,0.26
11621,Doesn't benefit,11,0.22
11622,Doesn't benefit,6,0.12
11623,Doesn't benefit,7,0.14
11624,Doesn't benefit,11,0.22
11625,Doesn't benefit,11,0.22
11626,Doesn't benefit,9,0.18
11627,Doesn't benefit,9,0.18
11628,Doesn't benefit,12,0.24
11629,Doesn't benefit,10,0.2
11630,Doesn't benefit,11,0.22
11631,Doesn't benefit,7,0.14
11632,Doesn't benefit,7,0.14
11633,Doesn't benefit,9,0.18
11634,Doesn't benefit,9,0.18
11635,Doesn't benefit,10,0.2
11636,Doesn't benefit,14,0.28
11637,Doesn't benefit,8,0.16
11638,Doesn't benefit,7,0.14
11639,Doesn't benefit,9,0.18
11640,Doesn't benefit,10,0.2
11641,Doesn't benefit,15,0.3
11642,Doesn't benefit,9,0.18
11643,Doesn't benefit,19,0.38
